index,expected,predicted,match,description,model,placetype_subject,geometry_type_subject,placetype_object,geometry_type_object
193,overlaps,overlaps,True,"Longview is a city in the U.S. state of Texas  and county seat of Gregg County; a small part of Longview extends into the western portion of is neighboring Harrison County.",gpt-oss,city,Polygon,county,Polygon
194,touches,within,False,"Leon Valley is an independent municipality surrounded by the city of San Antonio.",gpt-oss,village,Polygon,city,MultiPolygon
195,touches,error,False,"The city is bordered by Escondido to the east  Encinitas to the southwest  Carlsbad to the west  and Vista to the northwest.",gpt-oss,town,Polygon,city,Polygon
196,touches,disjoint,False,"In 2017  Converse proposed the annexation of 12 mi2 of territory near Randolph Air Force Base in northeastern Bexar County.",gpt-oss,village,Polygon,spaceport,Polygon
197,disjoint,disjoint,True,"Avenal is located 35 miles (56 km) southwest of Hanford  at an elevation of 807 ft (246 m).",gpt-oss,city,Polygon,city,MultiPolygon
198,overlaps,contains,False,Marshfield is a city in northwest Wood and southwest Marathon counties in the U.S. state of Wisconsin,gpt-oss,city,MultiPolygon,city,MultiPolygon
199,touches,contains,False,"Bradbury is bordered by the city of Monrovia to the west and south  and Duarte to the south and east.",gpt-oss,city,Polygon,city,Polygon
200,within,within,True,in,gpt-oss,city,MultiPolygon,county,Polygon
201,within,error,False,in,gpt-oss,town,MultiPolygon,county,Polygon
202,contains,contains,True,is the home of,gpt-oss,city,MultiPolygon,amenity,Polygon
203,touches,contains,False,"Murrieta is bordered by the city of Temecula to the south  the cities of Menifee and Wildomar to the north  and the unincorporated community of French Valley to the east.",gpt-oss,city,Polygon,town,Polygon
204,overlaps,error,False,"The city's limits extend into Caldwell and Guadalupe Counties  as well.",gpt-oss,town,MultiPolygon,county,Polygon
205,disjoint,touches,False,"It is bordered by the cities of Bell on the south  Vernon on the north and west  Huntington Park on the southwest  and Commerce on the east.",gpt-oss,town,Polygon,town,Polygon
206,within,within,True,in,gpt-oss,city,MultiPolygon,county,Polygon
207,touches,disjoint,False,"Larkspur is located 3 miles (4.8 km) south of San Rafael  at an elevation of 43 feet (13 m).",gpt-oss,city,Polygon,city,Polygon
208,contains,contains,True,home to,gpt-oss,city,MultiPolygon,man_made,MultiPolygon
209,overlaps,touches,False,"Albany (/Àà…îÀêlb…ôni/ AWL-b…ô-nee) is a city on the east shore of San Francisco Bay in northwestern Alameda County  California.",gpt-oss,town,Polygon,bay,Polygon
210,overlaps,within,False,146 of the population in,gpt-oss,city,Polygon,county,Polygon
211,within,within,True,in,gpt-oss,city,Polygon,county,Polygon
212,touches,within,False,"It is surrounded by the cities of Houston and West University Place.",gpt-oss,city,Polygon,city,Polygon
213,touches,disjoint,False,"Pharr is connected by bridge to the Mexican city of Reynosa  Tamaulipas.",gpt-oss,town,Polygon,county,Polygon
214,overlaps,contains,False,home to,gpt-oss,city,MultiPolygon,shop,Polygon
215,overlaps,overlaps,True,mostly located in,gpt-oss,city,MultiPolygon,county,Polygon
216,touches,disjoint,False,"Cotati (/ko¬†√§√Ä√†t‚Ä¶√´√Ä√™ti√Ä√™/; Miwok: Kota‚Äö√Ñ√¥ti) is an incorporated city in Sonoma County  California  United States  located approximately 45 mi (70 km) north of San Francisco in the 101 corridor between Rohnert Park and Petaluma.",gpt-oss,city,Polygon,town,Polygon
217,touches,touches,True,"The City of Hurst is surrounded by other communities including Bedford  Euless  Fort Worth  Richland Hills  North Richland Hills  Grapevine  and Colleyville.",gpt-oss,city,Polygon,city,Polygon
218,within,within,True,in,gpt-oss,village,Polygon,county,Polygon
219,disjoint,error,False,to the northeast of,gpt-oss,city,MultiPolygon,municipality,Polygon
220,touches,error,False,"Stanton is bounded by Cypress on the west  Anaheim on the north  and east  and Garden Grove on the east and south.",gpt-oss,city,Polygon,city,Polygon
221,crosses,crosses,True,The district straddles a 7-mile (11 km) stretch of Interstate 10 (the Katy Freeway),gpt-oss,suburb,Polygon,highway,LineString
222,crosses,contains,False,"The community is located along State Highway 36 (SH 36) and the BNSF Railway between Rosenberg in Fort Bend County and Wallis in Austin County.",gpt-oss,city,Polygon,highway,LineString
223,touches,touches,True,"It is adjacent to Cathedral City  Palm Desert  and Unincorporated Thousand Palms.",gpt-oss,town,Polygon,town,Polygon
224,overlaps,error,False,7 795 were in Dodge County  and 3 549 were in Fond du Lac County,gpt-oss,town,MultiPolygon,county,Polygon
225,crosses,error,False,"The city is centered on the intersection of Texas Highways 35 & 36  55 miles (89 km) southwest of downtown Houston.",gpt-oss,highway,LineString,highway,LineString
226,touches,error,False,"Murrieta is bordered by the city of Temecula to the south  the cities of Menifee and Wildomar to the north  and the unincorporated community of French Valley to the east.",gpt-oss,city,Polygon,town,Polygon
227,touches,touches,True,Besides Roseville  it shares borders with Granite Bay  Loomis and Lincoln,gpt-oss,town,MultiPolygon,town,Polygon
228,within,within,True,"Camarillo (/Àåk√¶m…ôÀàriÀêo ä/ KAM-…ô-REE-oh) is a city in Ventura County in the U.S. state of California.",gpt-oss,city,Polygon,county,MultiPolygon
229,within,error,False,"The cities of Norco and Riverside lie to the north and northeast  Chino Hills and Yorba Linda to the northwest  Anaheim to the west  Cleveland National Forest and the Santa Ana Mountains to the southwest  and unincorporated Riverside County along the rest of the city's borders.",gpt-oss,city,Polygon,county,Polygon
230,touches,within,False,"Sand City is a city in Monterey County  California  United States  located on the shores of Monterey Bay  and surrounded on most sides by the larger city of Seaside.",gpt-oss,city,Polygon,city,Polygon
231,crosses,touches,False,"O'Brien is located at the junction of Farm Road 2229 and Texas State Highway 6; the nearest large city is Abilene  70 miles to the south.",gpt-oss,village,Polygon,highway,LineString
232,disjoint,disjoint,True,"Maricopa is located 6.5 miles (10 km) south-southeast of Taft  at an elevation of 883 feet (269 m).",gpt-oss,city,Polygon,village,Polygon
233,touches,touches,True,"Larkspur's Police Department is shared with that of the is neighboring Corte Madera and town of San Anselmo as the Central Marin Police Authority.",gpt-oss,city,Polygon,town,Polygon
234,touches,touches,True,"El Paso adjoins it on the west and the smaller city of San Elizario on the southeast.",gpt-oss,city,Polygon,city,Polygon
235,overlaps,within,False,in,gpt-oss,city,Polygon,county,Polygon
236,within,within,True,"Citrus Heights is a city in Sacramento County  California.",gpt-oss,town,Polygon,county,Polygon
237,touches,error,False,"Monterey Park is bordered by Alhambra  Los Angeles  Montebello  and Rosemead.",gpt-oss,town,Polygon,city,Polygon
238,touches,disjoint,False,"Grand Terrace is located between Highgrove and Colton  along the I-215 and Agua Mansa industrial corridors.",gpt-oss,city,Polygon,city,Polygon
239,within,within,True,in,gpt-oss,town,MultiPolygon,county,Polygon
240,touches,error,False,"The city is surrounded by Waco and is part of the Waco Metropolitan Statistical Area.",gpt-oss,city,Polygon,city,Polygon
241,within,overlaps,False,"Most of the city is located in Dallas County  though a small portion extends into Kaufman County.",gpt-oss,city,Polygon,county,Polygon
242,disjoint,error,False,north of,gpt-oss,city,MultiPolygon,city,MultiPolygon
243,within,within,True,in,gpt-oss,city,Polygon,county,Polygon
244,within,touches,False,Established as a city in 1888  it is on the shore of Lake Elsinore  a natural freshwater lake about 3 000 acres (1 200 ha) in size,gpt-oss,city,Polygon,water,Polygon
245,touches,error,False,"Manhattan Beach is a city in southwestern Los Angeles County  California  United States  on the Pacific coast south of El Segundo  west of Hawthorne and Redondo Beach  and north of Hermosa Beach.",gpt-oss,city,Polygon,city,Polygon
246,within,error,False,part of,gpt-oss,city,Polygon,city,MultiPolygon
247,touches,disjoint,False,"Located near the county seat of Belton  Temple lies in the region referred to as Central Texas and is a principal city in the Killeen‚ÄìTemple‚ÄìFort Hood metropolitan area  which as of 2015 had a population of 450 051.",gpt-oss,city,Polygon,city,Polygon
248,disjoint,disjoint,True,"The city of Socorro adjoins it on the west and the town of Clint lies to the north.",gpt-oss,village,Polygon,town,Polygon
249,overlaps,error,False,"The name dates back to the time when Stanford University  on the other side of Palo Alto to the west  was dry and prohibited alcohol sales within a radius of one-mile (1.6 km) from the campus.",gpt-oss,city,Polygon,college,Polygon
250,within,within,True,in,gpt-oss,city,Polygon,county,Polygon
251,within,within,True,in,gpt-oss,town,Polygon,county,Polygon
252,disjoint,error,False,"Gilroy is a city in Northern California's Santa Clara County  south of Morgan Hill and north of San Benito County.",gpt-oss,city,Polygon,county,Polygon
253,disjoint,disjoint,True,"It lies 23 miles (37 km) east of Palm Springs  75 miles (121 km) east of Riverside  127 miles (204 km) east of Los Angeles  148 miles (238 km) northeast of San Diego  and 250 miles (402 km) west of Phoenix.",gpt-oss,city,MultiPolygon,city,MultiPolygon
254,disjoint,touches,False,"The Muir Woods National Monument is also located just outside the city limits.",gpt-oss,national_park,MultiPolygon,residential,Polygon
255,touches,error,False,"To the east lie the city of Westminster and the neighborhood of West Garden Grove  part of the city of Garden Grove.",gpt-oss,city,Polygon,city,Polygon
256,disjoint,disjoint,True,northwest of,gpt-oss,city,Polygon,city,MultiPolygon
257,touches,touches,True,"Palo Alto includes portions of Stanford University and borders East Palo Alto  Mountain View  Los Altos  Los Altos Hills  Stanford  Portola Valley  and Menlo Park.",gpt-oss,city,Polygon,town,Polygon
258,within,within,True,"California State University  Long Beach  one of the largest universities in California by enrollment  is within the city.",gpt-oss,amenity,Polygon,city,Polygon
259,touches,overlaps,False,partially within,gpt-oss,city,MultiPolygon,municipality,Polygon
260,within,overlaps,False,"The portion of Lueders located in Jones County is part of the Abilene  Texas metropolitan area.",gpt-oss,village,Polygon,county,Polygon
261,touches,error,False,western end of,gpt-oss,city,MultiPolygon,office,Polygon
262,touches,overlaps,False,mostly in,gpt-oss,city,MultiPolygon,municipality,Polygon
263,touches,within,False,"It is an enclave of San Antonio and is part of the San Antonio Metropolitan Statistical Area.",gpt-oss,village,Polygon,city,MultiPolygon
264,touches,touches,True,"It is bordered by the cities of Laguna Beach on the west and southwest  Laguna Hills on the east  Laguna Niguel on the southeast  and Laguna Woods on the north.",gpt-oss,city,Polygon,city,Polygon
265,within,within,True,"Dorris is a city in Siskiyou County  California  United States.",gpt-oss,city,Polygon,county,Polygon
266,touches,error,False,"The Los Alamitos Race Course is named for the city  but lies in the is neighboring city of Cypress.",gpt-oss,town,Polygon,city,Polygon
267,within,error,False,"Hico (/Ààha…™ko ä/  HY-koh) is a small city located in Hamilton County in central Texas  United States.",gpt-oss,city,Polygon,county,Polygon
268,touches,disjoint,False,"Texhoma is a divided city with the Texas-Oklahoma state border separating the city from Texhoma  Oklahoma.",gpt-oss,village,Polygon,town,Polygon
269,within,within,True,"Honey Grove is a city in Fannin County  Texas  United States.",gpt-oss,city,Polygon,county,Polygon
270,overlaps,within,False,1 640 of the population in,gpt-oss,city,MultiPolygon,county,Polygon
271,crosses,error,False,upstream from,gpt-oss,water,lienstring,water,Polygon
272,within,error,False,in,gpt-oss,city,Polygon,county,Polygon
273,disjoint,disjoint,True,"Sitting approximately 35 miles (56 km) from Sacramento and 55 miles (89 km) from San Francisco  it is within the Sacramento Valley.",gpt-oss,city,MultiPolygon,city,Polygon
274,disjoint,error,False,"The city lies in the San Gabriel Valley  east of the city of Los Angeles.",gpt-oss,aeroway,Polygon,city,Polygon
275,crosses,error,False,"Abilene is located off Interstate 20  between exits 279 on its western edge and 292 on the east.",gpt-oss,city,Polygon,highway,LineString
276,within,error,False,"Santa Rosa (Spanish for "Saint Rose") is a city and the county seat of Sonoma County  in the North Bay region of the Bay Area in California.",gpt-oss,city,MultiPolygon,county,Polygon
277,disjoint,contains,False,"It is a suburb of Fort Worth.",gpt-oss,county,Polygon,city,MultiPolygon
278,touches,touches,True,suburb of,gpt-oss,city,Polygon,city,MultiPolygon
279,overlaps,overlaps,True,Burlington is a city in Racine and Walworth counties in the U.S. state of Wisconsin  with the majority of the city located in Racine County,gpt-oss,city,MultiPolygon,county,Polygon
280,touches,touches,True,"The city shares its borders with Clayton  Lafayette  Alamo  Pleasant Hill  and Concord.",gpt-oss,town,Polygon,town,Polygon
281,overlaps,within,False,"Riverbank is a city in Stanislaus County  California  United States.",gpt-oss,town,Polygon,county,Polygon
282,touches,disjoint,False,southwest of,gpt-oss,city,Polygon,city,MultiPolygon
283,disjoint,disjoint,True,"The city is about 46 miles east of Los Angeles.",gpt-oss,city,Polygon,city,Polygon
284,contains,contains,True,home to,gpt-oss,city,MultiPolygon,building,Polygon
285,touches,within,False,"It is surrounded by the cities of Chino  Ontario  Jurupa Valley  Norco  and Corona.",gpt-oss,town,Polygon,city,Polygon
286,disjoint,error,False,"Pacifica (Spanish: Pac‚àö‚â†fica  meaning 'Peaceful') is a city in San Mateo County  California  on the coast of the Pacific Ocean between San Francisco and Half Moon Bay.",gpt-oss,town,Polygon,city,MultiPolygon
287,disjoint,disjoint,True,It is situated on the San Francisco Peninsula  roughly halfway between the cities of San Francisco and San Jose,gpt-oss,town,Polygon,city,MultiPolygon
288,within,within,True,in,gpt-oss,city,MultiPolygon,county,Polygon
289,within,within,True,"Ripon is a city located in San Joaquin County  California.",gpt-oss,city,Polygon,county,Polygon
290,touches,touches,True,"Pflugerville is a suburb of Austin and part of the Austin‚ÄìRound Rock‚ÄìSan Marcos Metropolitan Statistical Area.",gpt-oss,town,MultiPolygon,city,MultiPolygon
291,crosses,touches,False,at the mouth of,gpt-oss,city,MultiPolygon,river,LineString
292,disjoint,disjoint,True,"Huron is located 15 miles (24 km) east-northeast of Coalinga  at an elevation of 374 feet (114 m).",gpt-oss,city,MultiPolygon,city,Polygon
293,within,within,True,in,gpt-oss,city,Polygon,county,Polygon
294,disjoint,contains,False,"Corning is a city in Tehama County  California  that is located about 19 miles (31 km) south of Red Bluff and about 100 miles (160 km) north of Sacramento.",gpt-oss,city,Polygon,city,Polygon
295,disjoint,contains,False,"Nevada City (originally  Ustumah  a Nisenan village; later  Nevada  Deer Creek Dry Diggins  and Caldwell's Upper Store) is the county seat of Nevada County  California  United States  60 miles (97 km) northeast of Sacramento  84 miles (135 km) southwest of Reno and 147 miles (237 km) northeast of San Francisco.",gpt-oss,village,MultiPolygon,city,MultiPolygon
296,overlaps,touches,False,"The city  along the southern edge of Lake Tahoe  extends about 5 miles (8 km) west-southwest along U.S. Route 50  also known as Lake Tahoe Boulevard.",gpt-oss,city,Polygon,water,Polygon
297,within,within,True,"Cactus is a city in Moore County  Texas  United States  located along U.S. Route 287.",gpt-oss,city,MultiPolygon,state,Polygon
298,overlaps,touches,False,"Chandler is a city in Henderson County  Texas  United States  at the northern end of Lake Palestine.",gpt-oss,city,Polygon,water,Polygon
299,touches,disjoint,False,"Richardson is an inner suburb of the city of Dallas.",gpt-oss,city,Polygon,city,MultiPolygon
300,within,within,True,in,gpt-oss,city,Polygon,county,Polygon
301,disjoint,contains,False,"The city's name is given to the Port Isabel Detention Center  12 miles (19 km) to the northwest next to the Port Isabel-Cameron County Airport.",gpt-oss,city,Polygon,aeroway,Polygon
302,touches,touches,True,bordered by,gpt-oss,city,MultiPolygon,municipality,MultiPolygon
303,disjoint,disjoint,True,"It is in the San Francisco Bay Area  on the San Francisco Peninsula about halfway between San Francisco and San Jose.",gpt-oss,town,Polygon,city,MultiPolygon
304,overlaps,overlaps,True,"It is located within Dallas County except for small portions located in Collin and Rockwall Counties.",gpt-oss,city,Polygon,county,Polygon
305,touches,contains,False,"It is bordered by Bolsa Chica Basin State Marine Conservation Area on the west  the Pacific Ocean on the southwest  by Seal Beach on the northwest  by Westminster on the north  by Fountain Valley on the northeast  by Costa Mesa on the east  and by Newport Beach on the southeast.",gpt-oss,city,Polygon,city,Polygon
306,within,within,True,"Located in Galveston County  Kemah's main industry is shipping.",gpt-oss,city,Polygon,county,Polygon
307,within,within,True,in,gpt-oss,town,MultiPolygon,county,Polygon
308,crosses,disjoint,False,"La Grange is a city in Fayette County  Texas  United States  near the Colorado River.",gpt-oss,village,Polygon,river,LineString
309,touches,touches,True,"Palo Alto includes portions of Stanford University and borders East Palo Alto  Mountain View  Los Altos  Los Altos Hills  Stanford  Portola Valley  and Menlo Park.",gpt-oss,city,Polygon,town,Polygon
310,overlaps,overlaps,True,"Pearland (/Ààp…õ…ôrl√¶nd/ PEAR-land) is a city in the U.S. state of Texas  within Brazoria County  with portions extending into Fort Bend and Harris counties.",gpt-oss,city,MultiPolygon,county,Polygon
311,disjoint,disjoint,True,"Modesto is located in the Central Valley  68 miles (109 km) south of Sacramento and 90 miles (140 km) north of Fresno.",gpt-oss,city,MultiPolygon,city,Polygon
312,within,within,True,in,gpt-oss,city,Polygon,county,Polygon
313,contains,touches,False,neighborhood,gpt-oss,grass,Polygon,city,MultiPolygon
314,overlaps,overlaps,True,7 795 were in Dodge County  and 3 549 were in Fond du Lac County,gpt-oss,town,MultiPolygon,county,Polygon
315,disjoint,disjoint,True,south of,gpt-oss,city,MultiPolygon,city,MultiPolygon
316,within,within,True,"The University of the Pacific (UOP)  chartered in 1851  is the oldest university in California  and has been located in Stockton since 1923.",gpt-oss,amenity,Polygon,city,Polygon
317,within,within,True,located entirely in,gpt-oss,city,MultiPolygon,county,Polygon
318,within,within,True,"Goliad (/Àà…°o äli√¶d/ GOH-lee-ad) is a city in Goliad County  Texas  United States.",gpt-oss,county,Polygon,state,Polygon
319,within,within,True,county seat of,gpt-oss,city,MultiPolygon,county,Polygon
320,touches,touches,True,"The City of Hurst is surrounded by other communities including Bedford  Euless  Fort Worth  Richland Hills  North Richland Hills  Grapevine  and Colleyville.",gpt-oss,city,Polygon,city,MultiPolygon
321,overlaps,within,False,"San Marcos (/Àås√¶n Ààm…ëÀêrk…ôs/ SAN MAR-k…ôs) is a city and the county seat of Hays County  Texas  United States.",gpt-oss,town,MultiPolygon,county,Polygon
322,disjoint,disjoint,True,north of,gpt-oss,city,MultiPolygon,city,MultiPolygon
