index,expected,predicted,match,description,model
248,disjoint,disjoint,True,"The city of Socorro adjoins it on the west and the town of Clint lies to the north.",gpt-oss
249,overlaps,disjoint,False,"The name dates back to the time when Stanford University  on the other side of Palo Alto to the west  was dry and prohibited alcohol sales within a radius of one-mile (1.6 km) from the campus.",gpt-oss
250,within,within,True,in,gpt-oss
251,within,within,True,in,gpt-oss
252,disjoint,within,False,"Gilroy is a city in Northern California's Santa Clara County  south of Morgan Hill and north of San Benito County.",gpt-oss
253,disjoint,disjoint,True,"It lies 23 miles (37 km) east of Palm Springs  75 miles (121 km) east of Riverside  127 miles (204 km) east of Los Angeles  148 miles (238 km) northeast of San Diego  and 250 miles (402 km) west of Phoenix.",gpt-oss
254,disjoint,disjoint,True,"The Muir Woods National Monument is also located just outside the city limits.",gpt-oss
255,touches,disjoint,False,"To the east lie the city of Westminster and the neighborhood of West Garden Grove  part of the city of Garden Grove.",gpt-oss
256,disjoint,disjoint,True,northwest of,gpt-oss
257,touches,touches,True,"Palo Alto includes portions of Stanford University and borders East Palo Alto  Mountain View  Los Altos  Los Altos Hills  Stanford  Portola Valley  and Menlo Park.",gpt-oss
258,within,within,True,"California State University  Long Beach  one of the largest universities in California by enrollment  is within the city.",gpt-oss
259,touches,overlaps,False,partially within,gpt-oss
260,within,overlaps,False,"The portion of Lueders located in Jones County is part of the Abilene  Texas metropolitan area.",gpt-oss
261,touches,error,False,western end of,gpt-oss
262,touches,overlaps,False,mostly in,gpt-oss
263,touches,within,False,"It is an enclave of San Antonio and is part of the San Antonio Metropolitan Statistical Area.",gpt-oss
264,touches,touches,True,"It is bordered by the cities of Laguna Beach on the west and southwest  Laguna Hills on the east  Laguna Niguel on the southeast  and Laguna Woods on the north.",gpt-oss
265,within,within,True,"Dorris is a city in Siskiyou County  California  United States.",gpt-oss
266,touches,within,False,"The Los Alamitos Race Course is named for the city  but lies in the is neighboring city of Cypress.",gpt-oss
267,within,within,True,"Hico (/Ààha…™ko ä/  HY-koh) is a small city located in Hamilton County in central Texas  United States.",gpt-oss
268,touches,touches,True,"Texhoma is a divided city with the Texas-Oklahoma state border separating the city from Texhoma  Oklahoma.",gpt-oss
269,within,within,True,"Honey Grove is a city in Fannin County  Texas  United States.",gpt-oss
270,overlaps,within,False,1 640 of the population in,gpt-oss
271,crosses,touches,False,upstream from,gpt-oss
272,within,within,True,in,gpt-oss
273,disjoint,disjoint,True,"Sitting approximately 35 miles (56 km) from Sacramento and 55 miles (89 km) from San Francisco  it is within the Sacramento Valley.",gpt-oss
274,disjoint,disjoint,True,"The city lies in the San Gabriel Valley  east of the city of Los Angeles.",gpt-oss
275,crosses,disjoint,False,"Abilene is located off Interstate 20  between exits 279 on its western edge and 292 on the east.",gpt-oss
276,within,within,True,"Santa Rosa (Spanish for "Saint Rose") is a city and the county seat of Sonoma County  in the North Bay region of the Bay Area in California.",gpt-oss
277,disjoint,contains,False,"It is a suburb of Fort Worth.",gpt-oss
278,touches,disjoint,False,suburb of,gpt-oss
279,overlaps,within,False,Burlington is a city in Racine and Walworth counties in the U.S. state of Wisconsin  with the majority of the city located in Racine County,gpt-oss
280,touches,touches,True,"The city shares its borders with Clayton  Lafayette  Alamo  Pleasant Hill  and Concord.",gpt-oss
281,overlaps,within,False,"Riverbank is a city in Stanislaus County  California  United States.",gpt-oss
282,touches,disjoint,False,southwest of,gpt-oss
283,disjoint,disjoint,True,"The city is about 46 miles east of Los Angeles.",gpt-oss
284,contains,contains,True,home to,gpt-oss
285,touches,within,False,"It is surrounded by the cities of Chino  Ontario  Jurupa Valley  Norco  and Corona.",gpt-oss
286,disjoint,contains,False,"Pacifica (Spanish: Pac‚àö‚â†fica  meaning 'Peaceful') is a city in San Mateo County  California  on the coast of the Pacific Ocean between San Francisco and Half Moon Bay.",gpt-oss
287,disjoint,disjoint,True,It is situated on the San Francisco Peninsula  roughly halfway between the cities of San Francisco and San Jose,gpt-oss
288,within,within,True,in,gpt-oss
289,within,within,True,"Ripon is a city located in San Joaquin County  California.",gpt-oss
290,touches,disjoint,False,"Pflugerville is a suburb of Austin and part of the Austin‚ÄìRound Rock‚ÄìSan Marcos Metropolitan Statistical Area.",gpt-oss
291,crosses,touches,False,at the mouth of,gpt-oss
292,disjoint,disjoint,True,"Huron is located 15 miles (24 km) east-northeast of Coalinga  at an elevation of 374 feet (114 m).",gpt-oss
293,within,within,True,in,gpt-oss
294,disjoint,disjoint,True,"Corning is a city in Tehama County  California  that is located about 19 miles (31 km) south of Red Bluff and about 100 miles (160 km) north of Sacramento.",gpt-oss
295,disjoint,within,False,"Nevada City (originally  Ustumah  a Nisenan village; later  Nevada  Deer Creek Dry Diggins  and Caldwell's Upper Store) is the county seat of Nevada County  California  United States  60 miles (97 km) northeast of Sacramento  84 miles (135 km) southwest of Reno and 147 miles (237 km) northeast of San Francisco.",gpt-oss
296,overlaps,touches,False,"The city  along the southern edge of Lake Tahoe  extends about 5 miles (8 km) west-southwest along U.S. Route 50  also known as Lake Tahoe Boulevard.",gpt-oss
297,within,within,True,"Cactus is a city in Moore County  Texas  United States  located along U.S. Route 287.",gpt-oss
298,overlaps,touches,False,"Chandler is a city in Henderson County  Texas  United States  at the northern end of Lake Palestine.",gpt-oss
299,touches,touches,True,"Richardson is an inner suburb of the city of Dallas.",gpt-oss
300,within,within,True,in,gpt-oss
301,disjoint,touches,False,"The city's name is given to the Port Isabel Detention Center  12 miles (19 km) to the northwest next to the Port Isabel-Cameron County Airport.",gpt-oss
302,touches,touches,True,bordered by,gpt-oss
303,disjoint,disjoint,True,"It is in the San Francisco Bay Area  on the San Francisco Peninsula about halfway between San Francisco and San Jose.",gpt-oss
304,overlaps,overlaps,True,"It is located within Dallas County except for small portions located in Collin and Rockwall Counties.",gpt-oss
305,touches,touches,True,"It is bordered by Bolsa Chica Basin State Marine Conservation Area on the west  the Pacific Ocean on the southwest  by Seal Beach on the northwest  by Westminster on the north  by Fountain Valley on the northeast  by Costa Mesa on the east  and by Newport Beach on the southeast.",gpt-oss
306,within,within,True,"Located in Galveston County  Kemah's main industry is shipping.",gpt-oss
307,within,within,True,in,gpt-oss
308,crosses,disjoint,False,"La Grange is a city in Fayette County  Texas  United States  near the Colorado River.",gpt-oss
309,touches,touches,True,"Palo Alto includes portions of Stanford University and borders East Palo Alto  Mountain View  Los Altos  Los Altos Hills  Stanford  Portola Valley  and Menlo Park.",gpt-oss
310,overlaps,within,False,"Pearland (/Ààp…õ…ôrl√¶nd/ PEAR-land) is a city in the U.S. state of Texas  within Brazoria County  with portions extending into Fort Bend and Harris counties.",gpt-oss
311,disjoint,disjoint,True,"Modesto is located in the Central Valley  68 miles (109 km) south of Sacramento and 90 miles (140 km) north of Fresno.",gpt-oss
312,within,within,True,in,gpt-oss
313,contains,within,False,neighborhood,gpt-oss
314,overlaps,overlaps,True,7 795 were in Dodge County  and 3 549 were in Fond du Lac County,gpt-oss
315,disjoint,disjoint,True,south of,gpt-oss
316,within,within,True,"The University of the Pacific (UOP)  chartered in 1851  is the oldest university in California  and has been located in Stockton since 1923.",gpt-oss
317,within,within,True,located entirely in,gpt-oss
318,within,within,True,"Goliad (/Àà…°o äli√¶d/ GOH-lee-ad) is a city in Goliad County  Texas  United States.",gpt-oss
319,within,within,True,county seat of,gpt-oss
320,touches,touches,True,"The City of Hurst is surrounded by other communities including Bedford  Euless  Fort Worth  Richland Hills  North Richland Hills  Grapevine  and Colleyville.",gpt-oss
321,overlaps,within,False,"San Marcos (/Àås√¶n Ààm…ëÀêrk…ôs/ SAN MAR-k…ôs) is a city and the county seat of Hays County  Texas  United States.",gpt-oss
322,disjoint,disjoint,True,north of,gpt-oss
