id,question,direction
1640,"He is jogging south-west along the north-west shore of a lake and then turns around to head back in the direction he came from, in which direction is the lake?",south-east
1641,"He is riding west along the north shore of a lake and then turns around to head back in the direction he came from, in which direction is the lake?",south
1642,"He is riding north-west along the north-east shore of a lake and then turns around to head back in the direction he came from, in which direction is the lake?",south-west
1643,"He is riding north along the east shore of a lake and then turns around to head back in the direction he came from, in which direction is the lake?",west
1644,"He is riding north-east along the south-east shore of a lake and then turns around to head back in the direction he came from, in which direction is the lake?",north-west
1645,"He is riding east along the south shore of a lake and then turns around to head back in the direction he came from, in which direction is the lake?",north
1646,"He is riding south-east along the south-west shore of a lake and then turns around to head back in the direction he came from, in which direction is the lake?",north-east
1647,"He is riding south along the west shore of a lake and then turns around to head back in the direction he came from, in which direction is the lake?",east
1648,"He is riding south-west along the north-west shore of a lake and then turns around to head back in the direction he came from, in which direction is the lake?",south-east
1649,"He is perambulating west along the north shore of a lake and then turns around to head back in the direction he came from, in which direction is the lake?",south
1650,"He is perambulating north-west along the north-east shore of a lake and then turns around to head back in the direction he came from, in which direction is the lake?",south-west
1651,"He is perambulating north along the east shore of a lake and then turns around to head back in the direction he came from, in which direction is the lake?",west
1652,"He is perambulating north-east along the south-east shore of a lake and then turns around to head back in the direction he came from, in which direction is the lake?",north-west
1653,"He is perambulating east along the south shore of a lake and then turns around to head back in the direction he came from, in which direction is the lake?",north
1654,"He is perambulating south-east along the south-west shore of a lake and then turns around to head back in the direction he came from, in which direction is the lake?",north-east
1655,"He is perambulating south along the west shore of a lake and then turns around to head back in the direction he came from, in which direction is the lake?",east
1656,"He is perambulating south-west along the north-west shore of a lake and then turns around to head back in the direction he came from, in which direction is the lake?",south-east
1657,"He is hiking west along the north shore of a lake and then turns around to head back in the direction he came from, in which direction is the lake?",south
1658,"He is hiking north-west along the north-east shore of a lake and then turns around to head back in the direction he came from, in which direction is the lake?",south-west
1659,"He is hiking north along the east shore of a lake and then turns around to head back in the direction he came from, in which direction is the lake?",west
1660,"He is hiking north-east along the south-east shore of a lake and then turns around to head back in the direction he came from, in which direction is the lake?",north-west
1661,"He is hiking east along the south shore of a lake and then turns around to head back in the direction he came from, in which direction is the lake?",north
1662,"He is hiking south-east along the south-west shore of a lake and then turns around to head back in the direction he came from, in which direction is the lake?",north-east
1663,"He is hiking south along the west shore of a lake and then turns around to head back in the direction he came from, in which direction is the lake?",east
1664,"He is hiking south-west along the north-west shore of a lake and then turns around to head back in the direction he came from, in which direction is the lake?",south-east
1665,"He is unicycling west along the north shore of a lake and then turns around to head back in the direction he came from, in which direction is the lake?",south
1666,"He is unicycling north-west along the north-east shore of a lake and then turns around to head back in the direction he came from, in which direction is the lake?",south-west
1667,"He is unicycling north along the east shore of a lake and then turns around to head back in the direction he came from, in which direction is the lake?",west
1668,"He is unicycling north-east along the south-east shore of a lake and then turns around to head back in the direction he came from, in which direction is the lake?",north-west
1669,"He is unicycling east along the south shore of a lake and then turns around to head back in the direction he came from, in which direction is the lake?",north
1670,"He is unicycling south-east along the south-west shore of a lake and then turns around to head back in the direction he came from, in which direction is the lake?",north-east
1671,"He is unicycling south along the west shore of a lake and then turns around to head back in the direction he came from, in which direction is the lake?",east
1672,"He is unicycling south-west along the north-west shore of a lake and then turns around to head back in the direction he came from, in which direction is the lake?",south-east
1673,"He is racing west along the north shore of a lake and then turns around to head back in the direction he came from, in which direction is the lake?",south
1674,"He is racing north-west along the north-east shore of a lake and then turns around to head back in the direction he came from, in which direction is the lake?",south-west
1675,"He is racing north along the east shore of a lake and then turns around to head back in the direction he came from, in which direction is the lake?",west
1676,"He is racing north-east along the south-east shore of a lake and then turns around to head back in the direction he came from, in which direction is the lake?",north-west
1677,"He is racing east along the south shore of a lake and then turns around to head back in the direction he came from, in which direction is the lake?",north
1678,"He is racing south-east along the south-west shore of a lake and then turns around to head back in the direction he came from, in which direction is the lake?",north-east
1679,"He is racing south along the west shore of a lake and then turns around to head back in the direction he came from, in which direction is the lake?",east
1680,"He is racing south-west along the north-west shore of a lake and then turns around to head back in the direction he came from, in which direction is the lake?",south-east
1681,"She is running west along the north shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",south
1682,"She is running north-west along the north-east shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",south-west
1683,"She is running north along the east shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",west
1684,"She is running north-east along the south-east shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",north-west
1685,"She is running east along the south shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",north
1686,"She is running south-east along the south-west shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",north-east
1687,"She is running south along the west shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",east
1688,"She is running south-west along the north-west shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",south-east
1689,"She is walking west along the north shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",south
1690,"She is walking north-west along the north-east shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",south-west
1691,"She is walking north along the east shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",west
1692,"She is walking north-east along the south-east shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",north-west
1693,"She is walking east along the south shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",north
1694,"She is walking south-east along the south-west shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",north-east
1695,"She is walking south along the west shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",east
1696,"She is walking south-west along the north-west shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",south-east
1697,"She is cycling west along the north shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",south
1698,"She is cycling north-west along the north-east shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",south-west
1699,"She is cycling north along the east shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",west
1700,"She is cycling north-east along the south-east shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",north-west
1701,"She is cycling east along the south shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",north
1702,"She is cycling south-east along the south-west shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",north-east
1703,"She is cycling south along the west shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",east
1704,"She is cycling south-west along the north-west shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",south-east
1705,"She is driving west along the north shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",south
1706,"She is driving north-west along the north-east shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",south-west
1707,"She is driving north along the east shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",west
1708,"She is driving north-east along the south-east shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",north-west
1709,"She is driving east along the south shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",north
1710,"She is driving south-east along the south-west shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",north-east
1711,"She is driving south along the west shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",east
1712,"She is driving south-west along the north-west shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",south-east
1713,"She is jogging west along the north shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",south
1714,"She is jogging north-west along the north-east shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",south-west
1715,"She is jogging north along the east shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",west
1716,"She is jogging north-east along the south-east shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",north-west
1717,"She is jogging east along the south shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",north
1718,"She is jogging south-east along the south-west shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",north-east
1719,"She is jogging south along the west shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",east
1720,"She is jogging south-west along the north-west shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",south-east
1721,"She is riding west along the north shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",south
1722,"She is riding north-west along the north-east shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",south-west
1723,"She is riding north along the east shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",west
1724,"She is riding north-east along the south-east shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",north-west
1725,"She is riding east along the south shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",north
1726,"She is riding south-east along the south-west shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",north-east
1727,"She is riding south along the west shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",east
1728,"She is riding south-west along the north-west shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",south-east
1729,"She is perambulating west along the north shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",south
1730,"She is perambulating north-west along the north-east shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",south-west
1731,"She is perambulating north along the east shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",west
1732,"She is perambulating north-east along the south-east shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",north-west
1733,"She is perambulating east along the south shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",north
1734,"She is perambulating south-east along the south-west shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",north-east
1735,"She is perambulating south along the west shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",east
1736,"She is perambulating south-west along the north-west shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",south-east
1737,"She is hiking west along the north shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",south
1738,"She is hiking north-west along the north-east shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",south-west
1739,"She is hiking north along the east shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",west
1740,"She is hiking north-east along the south-east shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",north-west
1741,"She is hiking east along the south shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",north
1742,"She is hiking south-east along the south-west shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",north-east
1743,"She is hiking south along the west shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",east
1744,"She is hiking south-west along the north-west shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",south-east
1745,"She is unicycling west along the north shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",south
1746,"She is unicycling north-west along the north-east shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",south-west
1747,"She is unicycling north along the east shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",west
1748,"She is unicycling north-east along the south-east shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",north-west
1749,"She is unicycling east along the south shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",north
1750,"She is unicycling south-east along the south-west shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",north-east
1751,"She is unicycling south along the west shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",east
1752,"She is unicycling south-west along the north-west shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",south-east
1753,"She is racing west along the north shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",south
1754,"She is racing north-west along the north-east shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",south-west
1755,"She is racing north along the east shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",west
1756,"She is racing north-east along the south-east shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",north-west
1757,"She is racing east along the south shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",north
1758,"She is racing south-east along the south-west shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",north-east
1759,"She is racing south along the west shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",east
1760,"She is racing south-west along the north-west shore of a lake and then turns around to head back in the direction she came from, in which direction is the lake?",south-east
1761,"We are running west along the north shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",south
1762,"We are running north-west along the north-east shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",south-west
1763,"We are running north along the east shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",west
1764,"We are running north-east along the south-east shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",north-west
1765,"We are running east along the south shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",north
1766,"We are running south-east along the south-west shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",north-east
1767,"We are running south along the west shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",east
1768,"We are running south-west along the north-west shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",south-east
1769,"We are walking west along the north shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",south
1770,"We are walking north-west along the north-east shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",south-west
1771,"We are walking north along the east shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",west
1772,"We are walking north-east along the south-east shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",north-west
1773,"We are walking east along the south shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",north
1774,"We are walking south-east along the south-west shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",north-east
1775,"We are walking south along the west shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",east
1776,"We are walking south-west along the north-west shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",south-east
1777,"We are cycling west along the north shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",south
1778,"We are cycling north-west along the north-east shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",south-west
1779,"We are cycling north along the east shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",west
1780,"We are cycling north-east along the south-east shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",north-west
1781,"We are cycling east along the south shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",north
1782,"We are cycling south-east along the south-west shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",north-east
1783,"We are cycling south along the west shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",east
1784,"We are cycling south-west along the north-west shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",south-east
1785,"We are driving west along the north shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",south
1786,"We are driving north-west along the north-east shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",south-west
1787,"We are driving north along the east shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",west
1788,"We are driving north-east along the south-east shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",north-west
1789,"We are driving east along the south shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",north
1790,"We are driving south-east along the south-west shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",north-east
1791,"We are driving south along the west shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",east
1792,"We are driving south-west along the north-west shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",south-east
1793,"We are jogging west along the north shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",south
1794,"We are jogging north-west along the north-east shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",south-west
1795,"We are jogging north along the east shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",west
1796,"We are jogging north-east along the south-east shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",north-west
1797,"We are jogging east along the south shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",north
1798,"We are jogging south-east along the south-west shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",north-east
1799,"We are jogging south along the west shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",east
1800,"We are jogging south-west along the north-west shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",south-east
1801,"We are riding west along the north shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",south
1802,"We are riding north-west along the north-east shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",south-west
1803,"We are riding north along the east shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",west
1804,"We are riding north-east along the south-east shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",north-west
1805,"We are riding east along the south shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",north
1806,"We are riding south-east along the south-west shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",north-east
1807,"We are riding south along the west shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",east
1808,"We are riding south-west along the north-west shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",south-east
1809,"We are perambulating west along the north shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",south
1810,"We are perambulating north-west along the north-east shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",south-west
1811,"We are perambulating north along the east shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",west
1812,"We are perambulating north-east along the south-east shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",north-west
1813,"We are perambulating east along the south shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",north
1814,"We are perambulating south-east along the south-west shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",north-east
1815,"We are perambulating south along the west shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",east
1816,"We are perambulating south-west along the north-west shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",south-east
1817,"We are hiking west along the north shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",south
1818,"We are hiking north-west along the north-east shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",south-west
1819,"We are hiking north along the east shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",west
1820,"We are hiking north-east along the south-east shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",north-west
1821,"We are hiking east along the south shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",north
1822,"We are hiking south-east along the south-west shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",north-east
1823,"We are hiking south along the west shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",east
1824,"We are hiking south-west along the north-west shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",south-east
1825,"We are unicycling west along the north shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",south
1826,"We are unicycling north-west along the north-east shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",south-west
1827,"We are unicycling north along the east shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",west
1828,"We are unicycling north-east along the south-east shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",north-west
1829,"We are unicycling east along the south shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",north
1830,"We are unicycling south-east along the south-west shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",north-east
1831,"We are unicycling south along the west shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",east
1832,"We are unicycling south-west along the north-west shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",south-east
1833,"We are racing west along the north shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",south
1834,"We are racing north-west along the north-east shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",south-west
1835,"We are racing north along the east shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",west
1836,"We are racing north-east along the south-east shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",north-west
1837,"We are racing east along the south shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",north
1838,"We are racing south-east along the south-west shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",north-east
1839,"We are racing south along the west shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",east
1840,"We are racing south-west along the north-west shore of a lake and then turn around to head back in the direction we came from, in which direction is the lake?",south-east
1841,"They are running west along the north shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",south
1842,"They are running north-west along the north-east shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",south-west
1843,"They are running north along the east shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",west
1844,"They are running north-east along the south-east shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",north-west
1845,"They are running east along the south shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",north
1846,"They are running south-east along the south-west shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",north-east
1847,"They are running south along the west shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",east
1848,"They are running south-west along the north-west shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",south-east
1849,"They are walking west along the north shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",south
1850,"They are walking north-west along the north-east shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",south-west
1851,"They are walking north along the east shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",west
1852,"They are walking north-east along the south-east shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",north-west
1853,"They are walking east along the south shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",north
1854,"They are walking south-east along the south-west shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",north-east
1855,"They are walking south along the west shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",east
1856,"They are walking south-west along the north-west shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",south-east
1857,"They are cycling west along the north shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",south
1858,"They are cycling north-west along the north-east shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",south-west
1859,"They are cycling north along the east shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",west
1860,"They are cycling north-east along the south-east shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",north-west
1861,"They are cycling east along the south shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",north
1862,"They are cycling south-east along the south-west shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",north-east
1863,"They are cycling south along the west shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",east
1864,"They are cycling south-west along the north-west shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",south-east
1865,"They are driving west along the north shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",south
1866,"They are driving north-west along the north-east shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",south-west
1867,"They are driving north along the east shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",west
1868,"They are driving north-east along the south-east shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",north-west
1869,"They are driving east along the south shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",north
1870,"They are driving south-east along the south-west shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",north-east
1871,"They are driving south along the west shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",east
1872,"They are driving south-west along the north-west shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",south-east
1873,"They are jogging west along the north shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",south
1874,"They are jogging north-west along the north-east shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",south-west
1875,"They are jogging north along the east shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",west
1876,"They are jogging north-east along the south-east shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",north-west
1877,"They are jogging east along the south shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",north
1878,"They are jogging south-east along the south-west shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",north-east
1879,"They are jogging south along the west shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",east
1880,"They are jogging south-west along the north-west shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",south-east
1881,"They are riding west along the north shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",south
1882,"They are riding north-west along the north-east shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",south-west
1883,"They are riding north along the east shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",west
1884,"They are riding north-east along the south-east shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",north-west
1885,"They are riding east along the south shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",north
1886,"They are riding south-east along the south-west shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",north-east
1887,"They are riding south along the west shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",east
1888,"They are riding south-west along the north-west shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",south-east
1889,"They are perambulating west along the north shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",south
1890,"They are perambulating north-west along the north-east shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",south-west
1891,"They are perambulating north along the east shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",west
1892,"They are perambulating north-east along the south-east shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",north-west
1893,"They are perambulating east along the south shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",north
1894,"They are perambulating south-east along the south-west shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",north-east
1895,"They are perambulating south along the west shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",east
1896,"They are perambulating south-west along the north-west shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",south-east
1897,"They are hiking west along the north shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",south
1898,"They are hiking north-west along the north-east shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",south-west
1899,"They are hiking north along the east shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",west
1900,"They are hiking north-east along the south-east shore of a lake and then turn around to head back in the direction they came from, in which direction is the lake?",north-west
