source_entity,source_geometry,target_entity,target_geometry,corpus,relation_type,relation_label,explanation,ambiguity_level
Trans-Canada Highway,LineString,Canadian Shield,Polygon,"The massive road network threads entirely through the exposed, ancient Precambrian geological bedrock.",topological,crosses,A highway passing completely through a massive geological polygon.,Level 4
Interstate 80,LineString,Continental Divide,LineString,The massive highway weaves directly over the massive hydrological spine of the North American continent.,topological,crosses,A physical highway line intersecting a major geographical line.,Level 4
Trans-Amazonian Highway,LineString,Xingu River,LineString,"The dirt road cuts a brutal path straight through the dense jungle, bridging over the massive tributary.",topological,crosses,A highway line intersecting a massive river line.,Level 4
Tropic of Cancer,LineString,Nile River,LineString,The planetary latitudinal line intersects the northward flowing waters of the ancient African river.,topological,crosses,A global latitudinal line intersecting a major river line.,Level 4
Equator,LineString,Lake Victoria,Polygon,The invisible global latitude slices directly over the northern surface waters of the massive African freshwater basin.,topological,crosses,A planetary line traversing a massive lake polygon.,Level 4
Tropic of Capricorn,LineString,Great Dividing Range,Polygon,"The purely mathematical planetary latitude silently slices the rugged, physical geological boundary of the Australian mountain peaks.",topological,crosses,An abstract planetary boundary line traversing a physical geological polygon.,Level 5
Route 66,LineString,Mississippi River,LineString,The historic American highway bridges a path completely over the flowing waters via the historic Chain of Rocks structure.,topological,crosses,A highway line intersecting a major river line.,Level 5
Suez Canal,LineString,Egypt,Polygon,"The massive engineering project cuts a continuous path right through the desert sands, breaking the national landmass to connect two seas.",topological,crosses,An artificial canal traversing a national polygon.,Level 5
Vennbahn Railway Legal Footprint,Polygon,German Sovereign Territory,Polygon,"The narrow, foreign-owned transit ribbon violently slices the landscape, severing the host nation's soil multiple times and spawning five isolated enclaves.",topological,crosses,A highly complex transport polygon traversing an international border and structurally altering it.,Level 5
Abstract Tropic of Capricorn,LineString,Physical Great Dividing Range,Polygon,"The purely mathematical planetary plane silently penetrates the rugged, tangible geological ridges of the Australian topography.",topological,crosses,An abstract planetary boundary line traversing a physical geological polygon.,Level 5
Sub-Seabed Chunnel Transit Line,LineString,French Maritime Legal Zone,Polygon,"The subterranean engineering marvel threads deep beneath the ocean floor, piercing the 3D vertical projection of the nation's customs perimeter.",topological,crosses,A subterranean line completely traversing a maritime polygon footprint in 3D space.,Level 5
Artificial Panama Canal Trench,LineString,Continental Divide Geological Ridge,LineString,"The engineered maritime shortcut brutally pierces the massive, natural hydrological spine separating the watersheds of the Americas.",topological,crosses,An artificial canal line intersecting a massive geological ridge line.,Level 5
Gotthard Base Rail Tube,LineString,Swiss-Italian Geopolitical Plane,LineString,"The ultra-deep subterranean transit trajectory cuts horizontally through the alpine bedrock, threading the invisible, extruded vertical boundary separating the two nations.",topological,crosses,A subterranean tunnel line intersecting an extruded international boundary line.,Level 5
Historic Route 66 Asphalt,LineString,Mississippi River Hydrological Flow,LineString,"The iconic American pavement elevates via a steel truss structure, slicing cleanly over the rushing, massive water currents.",topological,crosses,A physical highway line intersecting a physical river line in 3D space.,Level 5
Appalachian Footpath,LineString,Mason-Dixon Survey Line,LineString,The legendary pedestrian trail weaves a meandering trajectory completely over the invisible historical survey vector that severed the republic.,topological,crosses,A physical hiking trail line intersecting a historical boundary line.,Level 5
Artificial Suez Canal Trench,LineString,Sinai Desert Landmass,Polygon,"The colossal maritime engineering project carves a continuous gouge right through the arid sands, fracturing the massive peninsula to link the oceans.",topological,crosses,An artificial canal traversing a massive peninsula polygon.,Level 5
Trans-Alaska Oil Pipeline,LineString,Abstract Arctic Circle Latitude,LineString,The elevated steel petroleum artery plunges straight over the imaginary global planetary ring on its route to the ice-free port.,topological,crosses,An infrastructure line intersecting a global latitudinal line.,Level 5
South Pole Station Flight Path,LineString,Convergence of 360 Meridians,MultiLineString,"The ascending aircraft banks in a tight arc, sequentially slicing through every single invisible global longitude line radiating from the planetary axis.",topological,crosses,A local transit LineString intersecting a planet-spanning MultiLineString network.,Level 5
Navigational International Date Line,LineString,Chukchi Sea Legal Boundary,Polygon,"The jagged chronological demarcation path sweeps directly through the center of the frigid legal zone, severing two distinct calendar epochs.",topological,crosses,An abstract global line geometry traversing a large maritime polygon.,Level 5
Abstract Geodetic Equator,LineString,Physical Amazon River Basin,Polygon,"The invisible global center-line slices completely over the massive, winding South American hydrological network near the coastal delta.",topological,crosses,A planetary line geometry traversing a major river basin polygon.,Level 5
Trans-Siberian Steel Rail,LineString,Ob River Ice Flow,LineString,"The massive industrial rail artery bridges directly over the freezing, massive Siberian hydrological currents.",topological,crosses,A massive industrial rail line intersecting a freezing river line.,Level 5
Abstract Geodetic Prime Meridian,LineString,Physical River Thames Current,LineString,"The imaginary global zero-longitude drops perfectly vertically, slicing exactly perpendicular over the winding waters of the historic British waterway.",topological,crosses,An abstract global line intersecting a physical river line.,Level 5
Interstate 95 Asphalt,LineString,Mason-Dixon Historical Boundary,LineString,The massive eastern automotive artery drives directly over the invisible colonial survey vector severing the northern and southern jurisdictions.,topological,crosses,A physical highway line intersecting a historical boundary line.,Level 5
Trans-Canada Highway Ribbon,LineString,Precambrian Canadian Shield,Polygon,"The massive continental road network threads its asphalt trajectory entirely through the exposed, ancient geological bedrock of the north.",topological,crosses,A highway passing completely through a massive geological polygon.,Level 5
Abstract Tropic of Cancer,LineString,Physical Nile River Flow,LineString,The planetary latitudinal plane intersects the northward-flowing currents of the ancient African hydrological lifeline.,topological,crosses,A global latitudinal line intersecting a major river line.,Level 5
Australia,Polygon,Canada,Polygon,Australia and Canada are massive nations located thousands of miles apart on entirely different sides of the globe.,topological,disjoint,Two country polygons located on completely different continents with no shared points.,Level 1
Japan,Polygon,Brazil,Polygon,The island nation of Japan is positioned completely removed from the South American nation of Brazil by vast planetary distances.,topological,disjoint,Countries separated by vast oceans and continents.,Level 1
City of Paris,Polygon,City of Tokyo,Polygon,The French capital and the Japanese capital are physically severed by the massive landmass of Eurasia.,topological,disjoint,Two cities physically separated by thousands of miles.,Level 1
City of Chicago,Polygon,City of Houston,Polygon,The midwestern city of Chicago is located a thousand miles north of the southern humidity of Houston.,topological,disjoint,Two distant cities with no intersecting geometry.,Level 1
Sahara Desert,Polygon,Amazon Rainforest,Polygon,The arid African sands are physically removed from the dense South American jungles by the Atlantic Ocean.,topological,disjoint,Two environmental polygons separated by a massive ocean.,Level 1
Japan,Polygon,Brazil,Polygon,The island nation of Japan is positioned completely across the planet from the South American nation of Brazil.,topological,disjoint,Countries separated by vast oceans and continents.,Level 1
City of Paris,Polygon,City of Tokyo,Polygon,The French capital and the Japanese capital are separated by the massive landmass of Eurasia.,topological,disjoint,Two cities physically separated by thousands of miles.,Level 1
City of Chicago,Polygon,City of Houston,Polygon,The midwestern city of Chicago is located a thousand miles away from the southern humidity of Houston.,topological,disjoint,Two distant cities with no intersecting geometry.,Level 1
Iceland,Polygon,Madagascar,Polygon,"Iceland sits in the freezing North Atlantic, far away from the tropical island of Madagascar in the Indian Ocean.",topological,disjoint,Two island polygons separated by extreme global distance.,Level 1
State of Hawaii,MultiPolygon,State of Ohio,Polygon,"The tropical islands of Hawaii sit in the deep Pacific, totally physically isolated from the midwestern plains of Ohio.",topological,disjoint,A state island chain and a landlocked state sharing no points.,Level 1
Rocky Mountains,Polygon,The Alps,Polygon,"The Rocky Mountains are a prominent feature of North America, keeping a massive geographic gap from the Alps in Europe.",topological,disjoint,Two mountain range polygons on different continents.,Level 1
Pacific Ocean,Polygon,Mediterranean Sea,Polygon,The vast waters of the Pacific Ocean never mix with the enclosed basin of the Mediterranean.,topological,disjoint,Two massive bodies of water completely separated by land.,Level 1
South Africa,Polygon,Russia,Polygon,"Sitting at the tip of the African continent, South Africa shares no land whatsoever with the northern expanse of Russia.",topological,disjoint,Two countries separated by multiple continents.,Level 1
New Zealand,Polygon,Greenland,Polygon,"New Zealand sits near the Antarctic, completely separated from the icy landmass of Greenland near the Arctic.",topological,disjoint,Two island polygons at opposite ends of the earth.,Level 1
State of Florida,Polygon,State of Washington,Polygon,"Florida sits in the extreme southeast corner of the country, miles away from the extreme northwest corner where Washington sits.",topological,disjoint,Two states at opposite ends of a country.,Level 1
River Thames,LineString,Mississippi River,LineString,"The River Thames flows through England, sharing no waters at all with the American Mississippi River.",topological,disjoint,Two river line geometries on different continents.,Level 1
Argentina,Polygon,Norway,Polygon,The South American nation of Argentina is completely isolated geographically from the Scandinavian nation of Norway.,topological,disjoint,Countries separated by oceans and hemispheres.,Level 1
State of Maine,Polygon,State of Arizona,Polygon,The cold northeastern state is completely cut off from the southwestern desert state by thousands of miles of American heartland.,topological,disjoint,Two states located on opposite ends of a continental landmass.,Level 1
Nile River,LineString,Yellow River,LineString,The famous African waterway maintains absolute geographic separation from the massive Asian river.,topological,disjoint,Two major river geometries on completely different continents.,Level 1
City of Sydney,Polygon,City of Cape Town,Polygon,The Australian coastal hub and the South African port are separated by the massive expanse of the Indian Ocean.,topological,disjoint,Two distant coastal cities sharing absolutely no spatial area.,Level 1
United Kingdom,Polygon,New Zealand,Polygon,The British Isles and the Kiwi islands sit at nearly perfectly opposite ends of the planetary sphere.,topological,disjoint,Two island nations geographically completely severed from one another.,Level 1
State of Hawaii,MultiPolygon,State of Ohio,Polygon,"The tropical islands of Hawaii sit in the deep Pacific, nowhere near the midwestern plains of Ohio.",topological,disjoint,A state island chain and a landlocked state sharing no points.,Level 1
Rocky Mountains,Polygon,The Alps,Polygon,"The Rocky Mountains are a prominent feature of North America, keeping a massive distance from the Alps in Europe.",topological,disjoint,Two mountain range polygons on different continents.,Level 1
Pacific Ocean,Polygon,Mediterranean Sea,Polygon,The vast waters of the Pacific Ocean never meet the enclosed basin of the Mediterranean Sea.,topological,disjoint,Two massive bodies of water completely separated by land.,Level 1
State of Alaska,Polygon,Contiguous United States,MultiPolygon,"Alaska is physically severed from the lower 48 states by the immense, intervening landmass of western Canada.",topological,disjoint,An exclave polygon completely isolated from its parent multi-polygon.,Level 2
Great Wall of China,LineString,Japan,Polygon,The ancient stone fortifications are kept far away from the Japanese archipelago by the Yellow Sea.,topological,disjoint,A historical LineString completely isolated from an island Polygon.,Level 2
Iceland,Polygon,Antarctica,Polygon,The volcanic island in the North Atlantic sits at the extreme opposite end of the globe from the frozen southern continent.,topological,disjoint,Two landmass polygons with extreme global separation.,Level 2
Suez Canal,LineString,Panama Canal,LineString,The artificial waterway connecting the Red Sea to the Mediterranean is located in an entirely different hemisphere than the Central American canal.,topological,disjoint,Two canal line geometries separated by thousands of miles.,Level 2
State of Alaska,Polygon,Contiguous United States,MultiPolygon,"Alaska is physically separated from the lower 48 states by the immense, intervening landmass of Canada.",topological,disjoint,An exclave polygon completely isolated from its parent multi-polygon.,Level 2
Great Wall of China,LineString,Japan,Polygon,The ancient stone fortifications of the Great Wall are kept far away from the Japanese archipelago by the Yellow Sea.,topological,disjoint,A historical LineString completely isolated from an island Polygon.,Level 2
Nile River,LineString,Amazon River,LineString,The longest waterway in Africa flows completely independently from the massive river network dominating South America.,topological,disjoint,Two massive river line geometries on different continents.,Level 2
Rocky Mountains,Polygon,Andes Mountains,Polygon,The towering peaks of the North American range share absolutely no geographic coordinates with the South American peaks.,topological,disjoint,Two mountain range polygons separated by vast hemispheric distances.,Level 2
The Pentagon,Polygon,The Kremlin,Polygon,The American military headquarters and the Russian government complex are separated by thousands of miles of ocean and land.,topological,disjoint,Two architectural polygons with massive global separation.,Level 2
Lake Victoria,Polygon,Lake Superior,Polygon,The African freshwater basin is completely physically removed from the North American Great Lake.,topological,disjoint,Two lake polygons existing on entirely different continents.,Level 2
State of Tasmania,Polygon,Mainland Australia,Polygon,The island state is entirely cut off from the massive continent by the turbulent Bass Strait.,topological,disjoint,An island state polygon and a mainland polygon physically isolated by water.,Level 2
Mount Kilimanjaro,Polygon,Mount Everest,Polygon,The towering dormant volcano in Tanzania shares no geometric space with the massive Himalayan peak in Nepal.,topological,disjoint,Two mountain polygons separated by a massive continental distance.,Level 2
Isle of Wight,Polygon,Mainland England,Polygon,The small island is completely separated from the British mainland by the waters of the Solent.,topological,disjoint,A coastal island polygon totally severed from a mainland polygon.,Level 2
Appalachian Trail,LineString,Rocky Mountains,Polygon,The famous eastern hiking path stays completely isolated from the massive western mountain range.,topological,disjoint,A hiking trail line completely separated from a mountain polygon.,Level 2
City of Miami,Polygon,City of Seattle,Polygon,The tropical southeastern hub and the rainy northwestern port share absolutely no spatial footprint on the continental map.,topological,disjoint,Two cities physically separated by the entire continental US.,Level 2
Sri Lanka,Polygon,India,Polygon,The teardrop-shaped island nation is entirely cut off from the massive subcontinent by the Palk Strait.,topological,disjoint,An island polygon completely isolated from an adjacent continental polygon.,Level 2
Baja California Peninsula,Polygon,Mainland Mexico,Polygon,"The long strip of land is completely severed from the bulk of the nation by the Gulf of California, connecting only in the far north.",topological,disjoint,A peninsula completely physically separated from the mainland at a specific latitude.,Level 2
Lake Baikal,Polygon,Caspian Sea,Polygon,"The massive, deep Siberian lake maintains extreme geographic isolation from the massive inland sea to the west.",topological,disjoint,Two massive inland water bodies separated by thousands of miles.,Level 2
Madagascar,Polygon,Mainland Africa,Polygon,"The island nation of Madagascar sits far off the coast, completely isolated from mainland Africa by the deep waters of the Mozambique Channel.",topological,disjoint,A large island polygon and a continental polygon that are physically isolated.,Level 2
Route 66,LineString,State of Florida,Polygon,"The historic Route 66 runs through the western and midwestern US, maintaining a massive geographic distance from the state of Florida.",topological,disjoint,A highway LineString and a state Polygon that share zero coordinates.,Level 2
Statue of Liberty,Point,Eiffel Tower,Point,The famous copper lady in New York and the iron lattice tower in Paris are separated by thousands of miles of Atlantic ocean.,topological,disjoint,Two point geometries on completely different continents.,Level 2
City of Honolulu,Polygon,Mainland United States,MultiPolygon,The tropical municipal limits of Honolulu are physically separated from the North American continent by the vast expanse of the Pacific.,topological,disjoint,A city polygon entirely isolated from a continental multi-polygon.,Level 2
Nile River,LineString,Amazon River,LineString,The longest river in Africa flows completely independently from the massive river network dominating South America.,topological,disjoint,Two massive river line geometries on different continents.,Level 2
Rocky Mountains,Polygon,Andes Mountains,Polygon,The towering peaks of the North American Rockies share absolutely no geographic coordinates with the South American Andes.,topological,disjoint,Two mountain range polygons separated by vast hemispheric distances.,Level 2
State of Tasmania,Polygon,Mainland Australia,Polygon,The island state of Tasmania is entirely cut off from the massive Australian continent by the turbulent Bass Strait.,topological,disjoint,An island state polygon and a mainland polygon physically isolated by water.,Level 2
Kaliningrad Oblast,Polygon,Mainland Russia,Polygon,The strategic Baltic exclave is completely separated from the mainland by intervening independent European nations.,topological,disjoint,An exclave polygon completely isolated from its parent polygon.,Level 3
Little Diomede Island,Polygon,Big Diomede Island,Polygon,The two rocky landmasses are completely isolated from one another by miles of frigid ocean and a full calendar day.,topological,disjoint,Two island polygons physically proximate but completely topologically isolated by ocean.,Level 3
Northwest Angle,Polygon,Contiguous United States,MultiPolygon,The Minnesotan territory is completely severed from the lower 48 states by the sprawling waters of the Lake of the Woods.,topological,disjoint,An exclave polygon entirely isolated from its parent multi-polygon.,Level 3
Point Nemo,Point,Ducie Island,Polygon,The theoretically isolated mathematical coordinate is completely separated from physical land by thousands of miles of deep ocean.,topological,disjoint,A mathematical point geometry absolutely isolated from any terrestrial polygon.,Level 3
State of Alaska,Polygon,Contiguous United States,MultiPolygon,The massive geographic expanse of western Canada keeps the frontier state completely isolated from the rest of the country.,topological,disjoint,An exclave state polygon fully separated from a massive continental multi-polygon.,Level 3
Falkland Islands,MultiPolygon,United Kingdom,Polygon,"The contested territory sits completely isolated in the South Atlantic, thousands of miles away from the sovereign capital.",topological,disjoint,Overseas territories isolated globally from their parent nation.,Level 3
Busingen am Hochrhein,Polygon,Mainland Germany,Polygon,The municipal footprint is completely severed from its sovereign nation by a strip of Swiss territory.,topological,disjoint,A municipal exclave sharing zero physical connection with its parent nation.,Level 3
Kaliningrad Oblast,Polygon,Mainland Russia,Polygon,The Russian exclave of Kaliningrad is entirely separated from the rest of the country by the intervening landmasses of independent European nations.,topological,disjoint,An exclave administrative polygon and its mainland parent polygon that share zero spatial coordinates.,Level 3
Little Diomede Island,Polygon,Big Diomede Island,Polygon,Little Diomede and Big Diomede sit just 2.4 miles apart in the Bering Strait but possess entirely isolated landmasses separated by the frigid ocean.,topological,disjoint,Two island polygons physically proximate but completely topologically isolated by ocean.,Level 3
Channel Islands,MultiPolygon,United Kingdom Mainland,Polygon,"Despite sovereign ties, the islands are situated off the coast of Normandy, totally isolated from the sovereign mainland.",topological,disjoint,A dependent island multi-polygon completely separated from the sovereign polygon.,Level 3
CERN Large Hadron Collider,LineString,City of Geneva Surface,Polygon,"The massive subterranean ring is buried deeply beneath the municipal surface infrastructure, ensuring no physical interaction.",topological,disjoint,A subterranean line geometry separated completely from a surface city polygon.,Level 3
Seikan Tunnel,LineString,Tsugaru Strait Water Volume,Polygon,The massive Japanese rail transit tube is bored deep into solid bedrock directly beneath the crushing weight of the ocean floor.,topological,disjoint,A subterranean transport line completely isolated from an aquatic volumetric polygon.,Level 3
PATH Train Tunnels,LineString,Hudson River,Polygon,The subterranean transit tubes bore deeply beneath the aquatic boundary to move commuters between New York and New Jersey.,topological,disjoint,Subterranean transit lines completely separated vertically from a surface river.,Level 3
Bosphorus Bridge,LineString,Bosphorus Strait,Polygon,Massive suspension pylons keep the transcontinental roadway completely elevated above the turbulent shipping lanes.,topological,disjoint,An elevated bridge line strictly separated from a maritime strait polygon.,Level 3
State of Hawaii,MultiPolygon,North American Continent,Polygon,The volcanic island chain is entirely separated from the continental landmass by the deep waters of the Pacific.,topological,disjoint,An island multi-polygon completely separated from a continental polygon.,Level 3
Gotthard Base Tunnel,LineString,Swiss Alps Surface,Polygon,The multi-billion dollar transit tube runs exclusively through deep subterranean bedrock without interacting with the mountain peaks.,topological,disjoint,A deep subterranean line separated from complex geological surface polygons.,Level 3
Eurotunnel Subterranean Tube,LineString,English Channel Surface Waters,Polygon,"The massive transit architecture is sealed in the bedrock floor, maintaining total physical isolation from the maritime waves.",topological,disjoint,A tunnel geometry entirely severed in the Z-axis from a surface water polygon.,Level 3
Omani Exclave of Madha,Polygon,Mainland Oman,Polygon,The tiny sovereign pocket is entirely severed from its parent nation by the intervening territory of the United Arab Emirates.,topological,disjoint,An exclave completely isolated from its sovereign mainland.,Level 3
Cabinda Province,Polygon,Mainland Angola,Polygon,The oil-rich territory is totally severed from the national mainland by a narrow strip of the Democratic Republic of the Congo.,topological,disjoint,An administrative polygon physically isolated from its parent nation.,Level 3
Nakhchivan Autonomous Republic,Polygon,Mainland Azerbaijan,Polygon,The landlocked exclave is entirely isolated from the capital in Baku by the intervening territory of Armenia.,topological,disjoint,An autonomous republic polygon completely severed from its mainland.,Level 3
Campione d'Italia,Polygon,Mainland Italy,Polygon,"The small municipality is totally isolated from the Italian peninsula, completely enclosed by the Swiss canton of Ticino.",topological,disjoint,A municipal exclave totally cut off from its sovereign nation.,Level 3
Brooklyn Bridge,LineString,East River,Polygon,The suspended roadway of the Brooklyn Bridge spans high in the air above the East River without its physical structure ever making contact with the water's surface.,topological,disjoint,A bridge line geometry and a river polygon geometry that overlap in a 2D map but are strictly separated in 3D topological space.,Level 3
Northwest Angle,Polygon,Contiguous United States,MultiPolygon,"Although legally part of Minnesota, the territory is completely severed from the lower 48 states by the waters of the Lake of the Woods, requiring travelers to drive through Canada to reach it.",topological,disjoint,An exclave polygon and its parent MultiPolygon that share absolutely zero intersecting spatial coordinates due to an aquatic barrier.,Level 4
Channel Islands,MultiPolygon,United Kingdom,Polygon,"Despite being British Crown Dependencies, the islands are situated off the coast of Normandy, sharing absolutely zero spatial coordinates with the sovereign footprint of the mainland.",topological,disjoint,Political affiliation versus spatial geometry; a dependent MultiPolygon is totally separated from its sovereign Polygon.,Level 4
Kaliningrad Oblast,Polygon,Mainland Russia,Polygon,The strategic Baltic exclave is completely separated from the mainland by intervening independent European nations like Lithuania and Belarus.,topological,disjoint,An exclave administrative polygon entirely severed from its mainland parent polygon.,Level 4
Little Diomede Island,Polygon,Big Diomede Island,Polygon,"Sitting just 2.4 miles apart, the physical landmasses share no spatial coordinates and are further severed by a 21-hour temporal gap due to the International Date Line.",topological,disjoint,Two physically proximate island polygons entirely isolated by water and temporal geography.,Level 4
Northwest Angle,Polygon,Contiguous United States,MultiPolygon,"Although legally part of Minnesota, the Northwest Angle is completely severed from the lower 48 states by the waters of the Lake of the Woods, requiring travelers to drive through Canada to reach it.",topological,disjoint,An exclave polygon and its parent MultiPolygon that share absolutely zero intersecting spatial coordinates due to an aquatic barrier.,Level 4
Point Nemo,Point,Ducie Island,Polygon,"The theoretical maritime coordinate known as Point Nemo is mathematically calculated to remain maximally distant and completely isolated from Ducie Island, its nearest physical landmass.",topological,disjoint,A cartographic point geometry specifically defined by its absolute topological isolation from any terrestrial polygon.,Level 4
Channel Islands,MultiPolygon,United Kingdom,Polygon,"Despite being British Crown Dependencies, the Channel Islands are situated off the coast of Normandy, sharing no spatial coordinates with the sovereign footprint of the United Kingdom.",topological,disjoint,Testing the difference between political affiliation and spatial geometry; the dependent MultiPolygon is totally separated from the sovereign Polygon.,Level 4
Kingdom of Lesotho,Polygon,Indian Ocean Maritime Boundary,Polygon,"As a landlocked nation entirely surrounded by South African territory, the kingdom is completely cut off from the physical coastline of the ocean.",topological,disjoint,Two distinct geographical polygons separated entirely by an intervening sovereign landmass.,Level 4
PATH Train Tunnels,LineString,Hudson River Water Volume,Polygon,"The subterranean transit tubes bore deeply beneath the aquatic boundary, keeping commuters entirely isolated from the flowing river above.",topological,disjoint,Subterranean transit lines completely separated vertically from a surface river.,Level 4
Gotthard Base Tunnel,LineString,Swiss Alps Surface,Polygon,The multi-billion dollar transit tube runs exclusively through deep subterranean bedrock without interacting with the towering mountain peaks above.,topological,disjoint,A deep subterranean line separated from complex geological surface polygons.,Level 4
Svalbard Global Seed Vault Entrance,Point,Equator,LineString,The secure subterranean entryway in the extreme Arctic is mathematically isolated from the planetary latitudinal line by thousands of miles.,topological,disjoint,A point geometry and a planetary line completely severed by global distance.,Level 4
State of Hawaii,MultiPolygon,Interstate Highway System,MultiLineString,"The volcanic archipelago is geographically severed from the massive continental road network, rendering any physical connection impossible.",topological,disjoint,An island multi-polygon completely physically separated from a continental transport network.,Level 4
Lombard Street,LineString,Broadway (New York),LineString,The famous crooked road in San Francisco is completely isolated from the iconic theater avenue by the entire expanse of the North American continent.,topological,disjoint,Two famous street lines separated by thousands of miles.,Level 4
Point Nemo,Point,Ducie Island,Polygon,The theoretical maritime coordinate is mathematically calculated to remain maximally distant and completely isolated from its nearest physical landmass.,topological,disjoint,A cartographic point geometry specifically defined by its absolute isolation from any terrestrial polygon.,Level 5
Little Diomede Island,Polygon,Big Diomede Island,Polygon,"Sitting just 2.4 miles apart, the physical landmasses share no spatial coordinates and are further severed by a 21-hour temporal gap.",topological,disjoint,Two physically proximate island polygons entirely isolated by water and temporal geography.,Level 5
Busingen am Hochrhein,Polygon,Federal Republic of Germany,Polygon,"The small municipality operates as a totally detached pocket of sovereignty, permanently isolated from the homeland by the Swiss border.",topological,disjoint,A complete geographic separation where a municipal polygon shares zero points with its sovereign nation.,Level 5
Northwest Angle,Polygon,Contiguous United States,MultiPolygon,"Although legally administered by Minnesota, the territory is completely severed from the lower 48 states by the waters of the Lake of the Woods, isolating its physical geometry entirely.",topological,disjoint,An exclave polygon and its parent MultiPolygon that share absolutely zero intersecting spatial coordinates due to an aquatic barrier.,Level 5
Brooklyn Bridge Roadway,LineString,East River Surface,Polygon,"The suspended steel roadway spans high in the air above the water's surface, ensuring the cars stay completely dry.",topological,disjoint,A bridge line geometry and a river polygon geometry that are strictly separated in 3D space.,Level 5
CERN Large Hadron Collider,LineString,City of Geneva,Polygon,"The 27-kilometer subterranean ring is buried 100 meters beneath the surface, ensuring the particle accelerator runs completely isolated from the municipal infrastructure directly above it.",topological,disjoint,Two entities that heavily share space on a 2D map but have zero spatial coordinates in a true 3D volumetric model.,Level 5
Seikan Tunnel,LineString,Tsugaru Strait Water Volume,Polygon,"The transit tunnel is bored deep into solid bedrock beneath the ocean floor, allowing trains to travel completely isolated from the massive aquatic body directly overhead.",topological,disjoint,A subterranean transport LineString separated vertically from an aquatic volumetric Polygon.,Level 5
State of Georgia (USA),Polygon,Republic of Georgia (Country),Polygon,"Despite sharing identically spelled designations, the American territory and the Caucasian nation are completely severed by the vast Atlantic Ocean.",topological,disjoint,A semantic deduplication trap where identically named entities have completely isolated geometries.,Level 5
Bosphorus Bridge Roadway,LineString,Bosphorus Strait,Polygon,Massive suspension pylons keep the transcontinental roadway completely elevated above the turbulent shipping lanes connecting the two seas.,topological,disjoint,An elevated bridge line strictly separated from a maritime strait polygon.,Level 5
Falkland Islands,MultiPolygon,United Kingdom Mainland,Polygon,"The contested territory sits completely isolated in the frigid South Atlantic, thousands of miles away from the sovereign capital in Europe.",topological,disjoint,Overseas territories isolated globally from their parent nation.,Level 5
London Underground Central Line Subterranean Track,LineString,River Thames Surface Water,Polygon,"The commuter rail dives deep into the clay earth beneath the capital, maintaining perfect vertical isolation from the historic waters above.",topological,disjoint,A subterranean transit line perfectly isolated in 3D space from a surface water body.,Level 5
Guantanamo Bay Naval Base,Polygon,United States Mainland,Polygon,The highly fortified military installation is completely severed from the North American continent by the waters of the Florida Strait.,topological,disjoint,An extraterritorial military footprint isolated completely from its sovereign nation.,Level 5
French Guiana,Polygon,Metropolitan France,Polygon,The overseas department in South America is completely severed from the European mainland by the massive expanse of the Atlantic Ocean.,topological,disjoint,A fully integrated national department totally physically isolated from the continental mainland.,Level 5
CERN Large Hadron Collider,LineString,City of Geneva,Polygon,"The 27-kilometer subterranean ring of the Large Hadron Collider is buried 100 meters beneath the surface, ensuring the particle accelerator runs completely isolated from the municipal infrastructure of Geneva directly above it.",topological,disjoint,"Two entities that heavily intersect when projected onto a standard 2D cartographic map, but share zero spatial coordinates in a true 3D volumetric model.",Level 5
Seikan Tunnel,LineString,Tsugaru Strait Water Volume,Polygon,"The Seikan Tunnel is bored deep into the solid bedrock beneath the ocean floor, allowing trains to transit completely isolated from the aquatic body of the Tsugaru Strait directly overhead.",topological,disjoint,"A subterranean transport LineString and an aquatic volumetric Polygon that are separated vertically by a bedrock layer, sharing no 3D points.",Level 5
Kingdom of Lesotho,Polygon,Indian Ocean Maritime Boundary,Polygon,"As a landlocked nation entirely surrounded by South African territory, Lesotho is completely cut off from the physical coastline of the Indian Ocean Maritime Boundary.",topological,disjoint,"Two distinct geographical polygons separated entirely by an intervening sovereign landmass, ensuring zero shared boundaries or interiors.",Level 5
City of Philadelphia,Polygon,Philadelphia County,Polygon,"The City of Philadelphia and Philadelphia County are consolidated, meaning they map to the exact same geographical footprint.",topological,equals,Two administrative entities that cover the exact same topological footprint.,Level 1
Borough of Brooklyn,Polygon,Kings County,Polygon,"The New York City borough of Brooklyn is coextensive with Kings County, covering the precise same land area down to the square inch.",topological,equals,A borough and a county that map to an identical set of geometric coordinates.,Level 1
City of San Francisco,Polygon,San Francisco County,Polygon,"San Francisco operates as a consolidated city-county, possessing matching municipal and county boundaries down to the inch.",topological,equals,The city polygon and the county polygon are geometrically identical.,Level 1
Borough of Brooklyn,Polygon,Kings County,Polygon,"The New York City borough of Brooklyn is coextensive with Kings County, covering the precise same land area.",topological,equals,A borough and a county mapping to an identical set of geometric coordinates.,Level 1
City of Denver,Polygon,Denver County,Polygon,The municipal limits of the City of Denver perfectly match the administrative footprint of Denver County.,topological,equals,A consolidated city-county sharing the exact same footprint.,Level 1
Borough of Manhattan,Polygon,New York County,Polygon,The island borough of Manhattan and New York County share an identical jurisdictional map.,topological,equals,A borough and a county with perfectly matching boundaries.,Level 1
Borough of Queens,Polygon,Queens County,Polygon,The borders defining the Borough of Queens are completely synonymous with the borders of Queens County.,topological,equals,Identical geometries for two different administrative titles.,Level 1
