placetype_subject,geometry_type_subject,placetype_object,geometry_type_object,Sentence,place_name_subject,place_name_object,vernacular_relation,spatial_relation,relation_predicate
city,Polygon,highway,LineString,"""Smiley has two cafes, no gas stations, a Wells Fargo bank and one blinking traffic signal at the intersection of US87 and FM108.""","Smiley, Texas","US87 and FM108, Texas",at the intersection of,crosses,at the intersection of
city,Polygon,highway,LineString,"""Stamford is on U.S. Highway 277 and State Highway 6.""","Stamford, Texas","US Highway 277 and State Highway 6, Texas",on,crosses,is on
highway,LineString,city,Polygon,"""U.S. Highway 66 also passed through the city.""","U.S. Highway 66, Texas","Amarillo, Texas",passed through,crosses,passed through
village,Polygon,river,LineString,"""Originally settled by Germans in the 19th century, Spring Branch is named for a spring fed creek that flows into the Guadalupe River.""","Spring Branch, Texas",Guadalupe River,flows into,crosses,flows into
city,Polygon,city,Polygon,"""Robstown is a city in Nueces County, Texas, United States, and a western suburb of Corpus Christi.""","Robstown, Texas","Corpus Christi, Texas",suburb of,disjoint,is suburb of
town,Polygon,city,Polygon,"""Rialto is a city in San Bernardino County, California, United States, 56 miles east of Los Angeles, near the Cajon Pass, Interstate 15, Interstate 10, State Route 210 and Metrolink routes.""","Rialto, California","Los Angeles, California",distance from,disjoint,has some distance from
city,Polygon,city,Polygon,"""Cotati (/ko¬¨‚Ä†‚àö¬ß‚àö√Ñ‚àö‚Ä†t‚Äö√Ñ¬∂‚àö¬¥‚àö√Ñ‚àö‚Ñ¢ti‚àö√Ñ‚àö‚Ñ¢/; Miwok: Kota‚Äö√Ñ√∂‚àö√ë‚àö¬•ti) is an incorporated city in Sonoma County, California, United States, located approximately 45 mi (70 km) north of San Francisco in the 101 corridor between Rohnert Park and Petaluma.""","Cotati, California","Rohnert Par, California",between,touches,is between C and
city,Polygon,city,MultiPolygon,"""Gonzales is located 16 miles (26 km) southeast of Salinas, at an elevation of 135 feet (41 m).""","Gonzales, California","Salinas, California",distance from,disjoint,has some distance from
city,Polygon,town,Polygon,"""The City of Hurst is surrounded by other communities including Bedford, Euless, Fort Worth, Richland Hills, North Richland Hills, Grapevine, and Colleyville.""","Hurst, Texas","Grapevine, Texas",surrounded by,disjoint,is surrounded by
industrial,LineString,city,MultiPolygon,Interstate 94 connects Kenosha to the Chicago and Milwaukee metro areas,"interstate 94,wisconsin","Kenosha,wisconsin",connect,crosses,connect C and
city,Polygon,amenity,Polygon,"""Los Angeles is the commercial, financial, and cultural center of Southern California.""","Los Angeles, California","Southern California, California",center of,contains,center of
city,Polygon,county,Polygon,in,"Plymouth,wisconsin","sheboygan county,wisconsin",in,within,is in
city,Polygon,state,Polygon,"""Benbrook is a town located in the southwestern corner of Tarrant County, Texas, and a suburb of Fort Worth.""","Benbrook, Texas",Texas,located in,within,is located in
city,MultiPolygon,municipality,MultiPolygon,partially within,"Cumberland,wisconsin","town of cumberland ,wisconsin",partly in,overlaps,is partly in
town,Polygon,county,Polygon,"""Barstow is a city in San Bernardino County, California, in the Mojave Desert of Southern California.""","Barstow, California","San Bernardino County, California",in,within,is in
city,MultiPolygon,city,Polygon,"""Redding lies along the Sacramento River, 162 miles (261 km) north of Sacramento, and 120 miles (190 km) south of California's northern border with Oregon.""","Redding, California","Sacramento, California",distance from,disjoint,has some distance from
industrial,LineString,city,MultiPolygon,Interstate 94 connects Kenosha to the Chicago and Milwaukee metro areas,"interstate 94,wisconsin",Chicago,connect,crosses,connect C and
town,Polygon,county,Polygon,in,"Kiel,wisconsin","calumet county,wisconsin",in,overlaps,is in
city,Polygon,city,MultiPolygon,part of,"Stoughton,wisconsin","Madison Metropolitan Statistical Area(Columbia, Dane, Green, Iowa)",part of,within,is part of
city,Polygon,municipality,Polygon,within,"Mineral,wisconsin","town of mineral point,wisconsin",within,touches,is within
city,Polygon,county,Polygon,in,"Arcadia,wisconsin","trempealeau county,wisconsin",in,within,is in
city,MultiPolygon,landfill,MultiPolygon,is neighboring across the bay,"Superior,wisconsin","duluth city,minnesota",is neighboring,touches,is neighboring
city,MultiPolygon,museum,Polygon,"Fort Worth is the location of the Van Cliburn International Piano Competition and several museums designed by contemporary architects. The Kimbell Art Museum was designed by Louis Kahn, with an addition designed by Renzo Piano. The Modern Art Museum of Fort Worth was designed by Tadao Ando. The Amon Carter Museum of American Art, designed by Philip Johnson, houses American art. The Sid Richardson Museum, redesigned by David M. Schwarz, has a collection of Western art in the U.S., emphasizing Frederic Remington and Charles Russell. The Fort Worth Museum of Science and History was designed by Ricardo Legorreta of Mexico.","Fort Worth, Texas",Fort Worth Museum of Science and History ,location of,contains,is the location of
town,Polygon,city,MultiPolygon,"The education system for Haltom City is served by the Birdville Independent School District, which also serves is neighboring cities including Fort Worth, North Richland Hills, Watauga, and as far as Hurst.","Haltom City,texas","Fort Worth, Texas",is neighboring,touches,is neighboring
village,Polygon,town,Polygon,"""Wheatland is located 12.5 miles (20 km) southeast of Marysville.""","Wheatland, California","Marysville, California",distance from,disjoint,has some distance from
city,MultiPolygon,water,Polygon,situated on,"Lake Geneva,wisconsin","geneva lake,wisconsin",situated on,overlaps,is situated on
city,Polygon,municipality,Polygon,small portion lies within,"Columbus,wisconsin","elba ,wisconsin",partly in,touches,is partly in
town,Polygon,county,Polygon,in,"Muskego,wisconsin","waukesha county,wisconsin",in,within,is in
highway,LineString,highway,LineString,"""It is located 20 miles west of Beaumont at the intersection of U.S. Highway 90, State Highway 326 and Farm to Market Road 365.""","U.S. Highway 90, Texas","State Highway 326, Texas",intersection,crosses,intersect
town,Polygon,water,LineString,"""Luling /√Ä√†lu√Ä√™l‚Ä¶‚Ñ¢‚âà√£/ is a city in Caldwell and Guadalupe counties, Texas, United States, along the San Marcos River.""","Luling, Texas","San Marcos River, Texas",along,crosses,is along
city,MultiPolygon,county,Polygon,"Appleton (Menominee: Ahkōnemeh) is a city in Outagamie, Calumet, and Winnebago counties in the U.S. state of Wisconsin.","Appleton,wisconsin","calumet,wisconsin",in,overlaps,is in
city,Polygon,county,Polygon,"""Odessa /√Ä√•o¬†√§√Ä√†d‚Ä¶√µs‚Ä¶√¥/ is a city in and the county seat of Ector County, Texas, United States.""","Odessa, Texas","Ector County, Texas",located in,within,is located in
military,Polygon,city,Polygon,"""Dyess Air Force Base is located on the west side of the city.""","Dyess Air Force Base, Texas","Abilene, Texas",located on,within,is located on
city,MultiPolygon,quarter,Polygon,home to,"Milwaukee,wisconsin","brewers,wisconsin",home to,contains,is home to
city,Polygon,museum,Polygon,"Monterey's present-day attractions include the Monterey Bay Aquarium, Cannery Row, Fisherman's Wharf, California Roots Music and Arts Festival, and the annual Monterey Jazz Festival.","Monterey,california","Monterey Bay Aquarium,california",includes,contains,includes
water,lienstring,water,Polygon,upstream from," Rock River,wisconsin","lake koshkonong,wisconsin",upstream from,crosses,is upstream from
city,MultiPolygon,leisure,Polygon,"""The primary border crossing between San Diego and Tijuana, the San Ysidro Port of Entry, is the busiest international land border crossing in the world outside of Asia (fourth-busiest overall).""","San Diego, California","Asia, California",outside of,disjoint,outside of
city,MultiPolygon,amenity,Polygon,home to,"Kenosha,wisconsin","carthage college,wisconsin",home to,contains,is home to
protected_area,Polygon,city,Polygon,"""It is bounded to the north by the San Gabriel Mountains, to the north and west by the cities of Bradbury and Monrovia, to the south by the city of Irwindale, and to the east by the cities of Irwindale and Azusa.""","San Gabriel Mountains, California","Duarte, California",bounded to the direction,overlaps,is bounded by
town,Polygon,water,LineString,"""It is on the North Bosque River, which forms nearby.""","Stephenville, Texas",North Bosque River,on,crosses,is on
city,Polygon,city,Polygon,"""It is located just southeast of Seaside, at an elevation of 82 feet (25 m).""","Del Rey Oaks, California","Seaside, California",just direction of,touches,just direction of
city,Polygon,leisure,Polygon,"""It is home to Squaw Creek golf course, located just off Ranch House Road.""","Willow Park, Texas","Squaw Creek golf course, Texas",home to,contains,is home to
town,MultiPolygon,water,Polygon,Situated on Lake Lyndon B. Johnson and the south branch of the Colorado River,"Horseshoe Bay,texas",Lake Lyndon B. Johnson,situated on,overlaps,is situated on
city,Polygon,highway,LineString,"""The city is looped by I-20 to the north, US 83/84 on the west, and Loop 322 to the east.""","Abilene, Texas",US 83/84,looped by,crosses,looped by
city,Polygon,county,Polygon,"""South San Francisco is a city in San Mateo County, California, United States, located on the San Francisco Peninsula in the San Francisco Bay Area.""","South San Francisco, California","San Mateo County, California",in,within,is in
city,Polygon,county,Polygon,in,"Pittsville,wisconsin","wood county ,wisconsin",in,within,is in
city,Polygon,county,Polygon,in,"Marion,wisconsin","waupaca ,wisconsin",in,overlaps,is in
city,MultiPolygon,museum,Polygon,"Fort Worth is the location of the Van Cliburn International Piano Competition and several museums designed by contemporary architects. The Kimbell Art Museum was designed by Louis Kahn, with an addition designed by Renzo Piano. The Modern Art Museum of Fort Worth was designed by Tadao Ando. The Amon Carter Museum of American Art, designed by Philip Johnson, houses American art. The Sid Richardson Museum, redesigned by David M. Schwarz, has a collection of Western art in the U.S., emphasizing Frederic Remington and Charles Russell. The Fort Worth Museum of Science and History was designed by Ricardo Legorreta of Mexico.","Fort Worth, Texas",Modern Art Museum,location of,contains,is the location of
city,Polygon,city,Polygon,"""West University Place is surrounded by the cities of Bellaire, Houston, and Southside Place.""","West University Place, Texas","Southside Place, Texas",surrounded by,touches,is surrounded by
town,Polygon,highway,LineString,"""Located on Interstate 10 and US 90 between San Antonio, Austin, and Houston, Weimar is a small community of predominantly Czech and German descendants.""","Weimar, Texas",Interstate 10,located on,crosses,is located on
city,Polygon,county,Polygon,"""The city lies in Galveston and Harris Counties.""","Friendswood, Texas","Harris County, Texas",partially lies in,overlaps,is partly in
city,Polygon,county,Polygon,"""It is the county seat of Navarro County, and an important Agri-business center.""","Corsicana, Texas","Navarro County, Texas",county seat,within,is the county seat of
city,MultiPolygon,county,Polygon,county seat of,"Ladysmith,wisconsin","rusk county ,wisconsin",county seat of,within,is the county seat of
city,Polygon,amenity,Polygon,home to,"Stevens Point,wisconsin","mid-state technical college ,wisconsin",home to,contains,is home to
city,Polygon,county,Polygon,partly in,"Cuba City,wisconsin","lafayette county,wisconsin",partly in,overlaps,is partly in
city,MultiPolygon,city,Polygon,"""Though primarily in Harris County, small portions of the city extend into Fort Bend, and Montgomery counties, bordering other principal communities of Greater Houston such as Sugar Land and The Woodlands.""","Houston, Texas","Sugar Land, Texas",borders,touches,borders
city,MultiPolygon,county,Polygon,"Burlington is a city in Racine and Walworth counties in the U.S. state of Wisconsin, with the majority of the city located in Racine County","Burlington,wisconsin","walworth  county,wisconsin",in,overlaps,is in
town,Polygon,city,Polygon,"""It is nestled along the foothills of the Santa Rosa Mountains in the south and is located between the cities of Palm Springs and Palm Desert.""","Rancho Mirage, California","Palm Springs, California",between,touches,is between C and
city,MultiPolygon,park,Polygon,home of,"Chippewa Falls,wisconsin","irvine park,wisconsin",home to,contains,is home to
city,MultiPolygon,commercial,Polygon,home to,"Madison,wisconsin","university research park ,wisconsin",home to,contains,is home to
city,Polygon,amenity,Polygon,"""Today, Petaluma is known for its well-preserved historic center and as a local hub for the Petaluma Valley region of Sonoma County.""","Petaluma, California","Petaluma Valley, California",local hub for,disjoint,hub for
tourism,Polygon,water,MultiPolygon,"""The city is located next to Lake Travis.""","The city, Texas","Lake Travis, Texas",next to,disjoint,is next to
city,MultiPolygon,water,Polygon,"""Edna is the gateway to 11,000-acre (45 km2) Lake Texana, which covers the site of Texana, Texas.""","Edna, Texas","Lake Texana, Texas",gateway to,disjoint,gateway to
village,Polygon,city,MultiPolygon,neighborhood,"allouez,wisconsin","Superior,wisconsin",neighborhood of,contains,is neighboring
town,Polygon,bay,Polygon,"""El Cerrito (Spanish for 'The Little Hill') is a city in Contra Costa County, California, United States, and forms part of the San Francisco Bay Area.""","El Cerrito, California",San Francisco Bay California,part of,disjoint,is part of
village,Polygon,water,LineString,along,"Omro,wisconsin","fox river,wisconsin",along,crosses,is along
town,Polygon,city,Polygon,"""Lynwood is located near South Gate and Compton in the central portion of the Los Angeles Basin.""","Lynwood, California","South Gate, California",near,touches,is near
county,MultiPolygon,administrative,Polygon,"""The city is in western Los Angeles County and is bordered to the north by Bell Canyon and Ventura County.""","Los Angeles County, California","Bell Canyon, California",bordered by,touches,is bordered by
city,Polygon,city,Polygon,"""Beaumont is bordered on the east by the city of Banning, on the south by the city of San Jacinto, on the west by the city of Calimesa, and on the north by the unincorporated community of Cherry Valley.""","Beaumont, California","Banning, California",bordered by,touches,is bordered by
city,Polygon,city,MultiPolygon,"""West Covina is bordered by Covina to the northeast, Baldwin Park and Irwindale to the northwest, La Puente and Valinda to the southwest, Industry to the south, Ramona to the east, and Walnut to the southeast.""","West Covina, California","Covina, California",to the direction,touches,just direction of
city,Polygon,town,Polygon,"""Weed is about 10 miles (16 km) west-northwest of Mount Shasta, a prominent northern California landmark, and the second-tallest volcano in the Cascade Range.""","Weed, California","Mount Shasta, California",distance from,disjoint,has some distance from
city,Polygon,military,MultiPolygon,"""Killeen is directly adjacent to the main cantonment of Fort Hood.""","Killeen, Texas","Fort Hood, Texas",directly adjacent to,overlaps,is adjacent to
city,MultiPolygon,amenity,Polygon,home to,"La Crosse,wisconsin","western technical college ,wisconsin",home to,contains,is home to
town,Polygon,county,Polygon,in,"Delafield,wisconsin","waukesha county,wisconsin",in,within,is in
city,Polygon,city,Polygon,"""Westminster is bordered by the city of Seal Beach on the west, by Garden Grove on the north and east, and by Huntington Beach and Fountain Valley on the south.""","Westminster, California","Huntington Beach, California",bordered by,touches,is bordered by
city,Polygon,county,Polygon,mostly in,"Columbus,wisconsin","columbia,wisconsin",mostly in,overlaps,is mostly in
town,Polygon,county,Polygon,89 of the population in,"Berlin,wisconsin","waushara,wisconsin",part of the population in,overlaps,has part of the population in
town,Polygon,county,Polygon,"""A small portion of Seagoville extends into Kaufman County.""","Seagoville, Texas","Kaufman County, Texas",extends into,overlaps,extend into
city,Polygon,county,Polygon,in,"Clintonville,wisconsin","waupaca county ,wisconsin",in,within,is in
highway,LineString,highway,LineString,"""O'Brien is located at the junction of Farm Road 2229 and Texas State Highway 6; the nearest large city is Abilene, 70 miles to the south.""","Farm Road 2229, Texas",Texas State Highway 6,junction,crosses,at the junction of
city,MultiPolygon,water,LineString,situated on,"Kaukauna,wisconsin","fox river,wisconsin",situated on,crosses,is situated on
