index,expected,predicted,match,description
289,within,within,True,"Ripon is a city located in San Joaquin County  California."
290,touches,within,False,"Pflugerville is a suburb of Austin and part of the Austin‚ÄìRound Rock‚ÄìSan Marcos Metropolitan Statistical Area."
291,crosses,contains,False,at the mouth of
292,disjoint,invalid,False,"Huron is located 15 miles (24 km) east-northeast of Coalinga  at an elevation of 374 feet (114 m)."
293,within,within,True,in
294,disjoint,invalid,False,"Corning is a city in Tehama County  California  that is located about 19 miles (31 km) south of Red Bluff and about 100 miles (160 km) north of Sacramento."
295,disjoint,disjoint,True,"Nevada City (originally  Ustumah  a Nisenan village; later  Nevada  Deer Creek Dry Diggins  and Caldwell's Upper Store) is the county seat of Nevada County  California  United States  60 miles (97 km) northeast of Sacramento  84 miles (135 km) southwest of Reno and 147 miles (237 km) northeast of San Francisco."
296,overlaps,touches,False,"The city  along the southern edge of Lake Tahoe  extends about 5 miles (8 km) west-southwest along U.S. Route 50  also known as Lake Tahoe Boulevard."
297,within,disjoint,False,"Cactus is a city in Moore County  Texas  United States  located along U.S. Route 287."
298,overlaps,touches,False,"Chandler is a city in Henderson County  Texas  United States  at the northern end of Lake Palestine."
299,touches,within,False,"Richardson is an inner suburb of the city of Dallas."
300,within,within,True,in
301,disjoint,within,False,"The city's name is given to the Port Isabel Detention Center  12 miles (19 km) to the northwest next to the Port Isabel-Cameron County Airport."
302,touches,disjoint,False,bordered by
303,disjoint,invalid,False,"It is in the San Francisco Bay Area  on the San Francisco Peninsula about halfway between San Francisco and San Jose."
304,overlaps,within,False,"It is located within Dallas County except for small portions located in Collin and Rockwall Counties."
305,touches,disjoint,False,"It is bordered by Bolsa Chica Basin State Marine Conservation Area on the west  the Pacific Ocean on the southwest  by Seal Beach on the northwest  by Westminster on the north  by Fountain Valley on the northeast  by Costa Mesa on the east  and by Newport Beach on the southeast."
306,within,disjoint,False,"Located in Galveston County  Kemah's main industry is shipping."
307,within,within,True,in
308,crosses,disjoint,False,"La Grange is a city in Fayette County  Texas  United States  near the Colorado River."
309,touches,overlaps,False,"Palo Alto includes portions of Stanford University and borders East Palo Alto  Mountain View  Los Altos  Los Altos Hills  Stanford  Portola Valley  and Menlo Park."
310,overlaps,disjoint,False,"Pearland (/Ààp…õ…ôrl√¶nd/ PEAR-land) is a city in the U.S. state of Texas  within Brazoria County  with portions extending into Fort Bend and Harris counties."
311,disjoint,disjoint,True,"Modesto is located in the Central Valley  68 miles (109 km) south of Sacramento and 90 miles (140 km) north of Fresno."
312,within,within,True,in
313,contains,overlaps,False,neighborhood
314,overlaps,within,False,7 795 were in Dodge County  and 3 549 were in Fond du Lac County
315,disjoint,disjoint,True,south of
316,within,within,True,"The University of the Pacific (UOP)  chartered in 1851  is the oldest university in California  and has been located in Stockton since 1923."
317,within,disjoint,False,located entirely in
318,within,disjoint,False,"Goliad (/Àà…°o äli√¶d/ GOH-lee-ad) is a city in Goliad County  Texas  United States."
319,within,within,True,county seat of
320,touches,within,False,"The City of Hurst is surrounded by other communities including Bedford  Euless  Fort Worth  Richland Hills  North Richland Hills  Grapevine  and Colleyville."
321,overlaps,disjoint,False,"San Marcos (/Àås√¶n Ààm…ëÀêrk…ôs/ SAN MAR-k…ôs) is a city and the county seat of Hays County  Texas  United States."
322,disjoint,disjoint,True,north of
